Object ID,Entry Time (EST),Exit Time (EST),Time Taken (s),Speed (m/s),Speed (mph)
3901,2025-11-09 16:00:13,2025-11-09 16:00:14,1.42,12.67,28.35
3932,2025-11-09 16:00:15,2025-11-09 16:00:17,1.69,10.66,23.84
3966,2025-11-09 16:00:18,2025-11-09 16:00:19,1.01,17.75,39.71
4097,2025-11-09 16:00:26,2025-11-09 16:00:27,0.94,19.04,42.59
4129,2025-11-09 16:00:29,2025-11-09 16:00:30,0.88,20.51,45.89
4143,2025-11-09 16:00:31,2025-11-09 16:00:32,1.08,16.66,37.28
4158,2025-11-09 16:00:33,2025-11-09 16:00:35,1.57,11.49,25.69
4394,2025-11-09 16:00:53,2025-11-09 16:00:53,0.88,20.48,45.82
4415,2025-11-09 16:00:54,2025-11-09 16:00:55,0.68,26.38,59.01
5757,2025-11-09 16:02:24,2025-11-09 16:02:27,2.43,7.39,16.54
5806,2025-11-09 16:02:30,2025-11-09 16:02:32,1.89,9.51,21.27
5826,2025-11-09 16:02:33,2025-11-09 16:02:34,1.62,11.07,24.77
5848,2025-11-09 16:02:34,2025-11-09 16:02:36,1.96,9.17,20.51
5961,2025-11-09 16:02:38,2025-11-09 16:02:39,1.08,16.61,37.15
6019,2025-11-09 16:02:41,2025-11-09 16:02:43,1.32,13.65,30.53
7414,2025-11-09 16:04:23,2025-11-09 16:04:25,1.87,9.59,21.45
7448,2025-11-09 16:04:25,2025-11-09 16:04:26,1.41,12.73,28.47
7469,2025-11-09 16:04:27,2025-11-09 16:04:29,1.27,14.11,31.56
7510,2025-11-09 16:04:29,2025-11-09 16:04:30,1.08,16.61,37.16
7567,2025-11-09 16:04:34,2025-11-09 16:04:35,1.14,15.72,35.16
7579,2025-11-09 16:04:36,2025-11-09 16:04:37,1.5,12.0,26.84
8619,2025-11-09 16:06:12,2025-11-09 16:06:14,1.55,11.57,25.89
8659,2025-11-09 16:06:14,2025-11-09 16:06:16,1.69,10.66,23.85
8704,2025-11-09 16:06:18,2025-11-09 16:06:20,1.42,12.68,28.36
8718,2025-11-09 16:06:20,2025-11-09 16:06:21,1.35,13.34,29.83
8720,2025-11-09 16:06:21,2025-11-09 16:06:23,1.28,14.01,31.33
8730,2025-11-09 16:06:24,2025-11-09 16:06:25,1.01,17.73,39.66
8736,2025-11-09 16:06:25,2025-11-09 16:06:27,1.21,14.83,33.18
8754,2025-11-09 16:06:28,2025-11-09 16:06:30,1.02,17.69,39.56
8776,2025-11-09 16:06:30,2025-11-09 16:06:31,1.15,15.64,35.0
8944,2025-11-09 16:06:43,2025-11-09 16:06:44,0.68,26.61,59.52
8980,2025-11-09 16:06:46,2025-11-09 16:06:47,0.61,29.66,66.36
9019,2025-11-09 16:06:51,2025-11-09 16:06:51,0.54,33.36,74.62
10008,2025-11-09 16:08:00,2025-11-09 16:08:01,1.55,11.59,25.93
10222,2025-11-09 16:08:16,2025-11-09 16:08:18,2.12,8.47,18.94
10275,2025-11-09 16:08:19,2025-11-09 16:08:20,1.41,12.71,28.43
11271,2025-11-09 16:09:41,2025-11-09 16:09:43,2.09,8.59,19.22
11475,2025-11-09 16:10:09,2025-11-09 16:10:10,1.75,10.28,22.99
11493,2025-11-09 16:10:11,2025-11-09 16:10:12,1.42,12.63,28.26
11502,2025-11-09 16:10:12,2025-11-09 16:10:14,1.61,11.17,24.98
11520,2025-11-09 16:10:15,2025-11-09 16:10:16,1.01,17.75,39.71
11549,2025-11-09 16:10:19,2025-11-09 16:10:20,0.95,19.01,42.53
11562,2025-11-09 16:10:20,2025-11-09 16:10:22,1.28,14.06,31.45
11580,2025-11-09 16:10:24,2025-11-09 16:10:25,0.74,24.24,54.22
11592,2025-11-09 16:10:26,2025-11-09 16:10:27,1.08,16.72,37.4
11622,2025-11-09 16:10:28,2025-11-09 16:10:30,1.08,16.57,37.08
11649,2025-11-09 16:10:31,2025-11-09 16:10:33,1.34,13.41,30.01
11772,2025-11-09 16:10:43,2025-11-09 16:10:44,1.15,15.69,35.1
11866,2025-11-09 16:10:52,2025-11-09 16:10:53,0.67,26.97,60.33
12672,2025-11-09 16:12:13,2025-11-09 16:12:14,1.55,11.61,25.97
12699,2025-11-09 16:12:15,2025-11-09 16:12:17,2.35,7.66,17.13
12736,2025-11-09 16:12:18,2025-11-09 16:12:19,1.42,12.7,28.41
12765,2025-11-09 16:12:21,2025-11-09 16:12:21,0.74,24.22,54.17
12781,2025-11-09 16:12:23,2025-11-09 16:12:24,1.14,15.71,35.14
62,2025-11-09 22:16:51,2025-11-09 22:16:52,1.43,12.58,28.14
102,2025-11-10 07:47:36,2025-11-10 07:47:42,5.86,3.07,6.86
170,2025-11-10 07:47:44,2025-11-10 07:47:46,1.61,11.19,25.04
245,2025-11-10 07:47:51,2025-11-10 07:47:52,1.21,14.92,33.37
953,2025-11-10 07:49:06,2025-11-10 07:49:09,2.79,6.46,14.44
998,2025-11-10 07:49:10,2025-11-10 07:49:12,2.38,7.55,16.89
1031,2025-11-10 07:49:12,2025-11-10 07:49:14,1.98,9.07,20.29
1060,2025-11-10 07:49:15,2025-11-10 07:49:17,1.59,11.28,25.24
1077,2025-11-10 07:49:20,2025-11-10 07:49:21,1.89,9.5,21.25
1093,2025-11-10 07:49:23,2025-11-10 07:49:25,1.3,13.81,30.9
1142,2025-11-10 07:49:28,2025-11-10 07:49:30,2.21,8.12,18.17
1172,2025-11-10 07:49:30,2025-11-10 07:49:31,0.91,19.8,44.3
1201,2025-11-10 07:49:33,2025-11-10 07:49:34,1.61,11.14,24.92
390,2025-11-10 11:21:38,2025-11-10 11:21:41,2.7,6.65,14.88
830,2025-11-10 11:22:25,2025-11-10 11:22:27,2.71,6.64,14.84
841,2025-11-10 11:22:27,2025-11-10 11:22:30,2.32,7.74,17.32
848,2025-11-10 11:22:31,2025-11-10 11:22:32,1.73,10.41,23.29
861,2025-11-10 11:22:34,2025-11-10 11:22:36,1.44,12.5,27.97
928,2025-11-10 11:22:47,2025-11-10 11:22:48,1.26,14.32,32.04
974,2025-11-10 11:22:52,2025-11-10 11:22:53,1.26,14.28,31.94
1005,2025-11-10 11:22:54,2025-11-10 11:22:56,1.4,12.83,28.69
1294,2025-11-10 11:23:26,2025-11-10 11:23:29,2.88,6.24,13.96
1887,2025-11-10 11:24:28,2025-11-10 11:24:30,2.02,8.9,19.9
1909,2025-11-10 11:24:31,2025-11-10 11:24:33,1.61,11.2,25.04
1960,2025-11-10 11:24:38,2025-11-10 11:24:40,1.35,13.27,29.69
1982,2025-11-10 11:24:42,2025-11-10 11:24:44,1.64,10.94,24.48
2318,2025-11-10 11:25:47,2025-11-10 11:25:49,1.91,9.4,21.02
2688,2025-11-10 11:26:20,2025-11-10 11:26:22,2.03,8.85,19.8
2699,2025-11-10 11:26:23,2025-11-10 11:26:25,1.99,9.03,20.19
2713,2025-11-10 11:26:25,2025-11-10 11:26:28,2.12,8.49,18.99
2740,2025-11-10 11:26:29,2025-11-10 11:26:31,2.19,8.19,18.33
2763,2025-11-10 11:26:31,2025-11-10 11:26:33,2.54,7.08,15.84
2788,2025-11-10 11:26:34,2025-11-10 11:26:35,0.87,20.77,46.47
2789,2025-11-10 11:26:34,2025-11-10 11:26:41,6.13,2.93,6.56
3274,2025-11-10 11:27:29,2025-11-10 11:27:32,2.56,7.01,15.69
3862,2025-11-10 11:28:22,2025-11-10 11:28:24,1.99,9.05,20.23
3888,2025-11-10 11:28:24,2025-11-10 11:28:25,1.24,14.48,32.38
3914,2025-11-10 11:28:27,2025-11-10 11:28:29,1.76,10.22,22.86
3922,2025-11-10 11:28:29,2025-11-10 11:28:30,1.24,14.55,32.54
3947,2025-11-10 11:28:31,2025-11-10 11:28:33,1.88,9.59,21.44
3967,2025-11-10 11:28:35,2025-11-10 11:28:37,2.01,8.93,19.98
3985,2025-11-10 11:28:37,2025-11-10 11:28:39,2.23,8.08,18.06
3997,2025-11-10 11:28:40,2025-11-10 11:28:42,1.83,9.84,22.02
3924,2025-11-10 11:28:29,2025-11-10 11:29:27,57.69,0.31,0.7
4671,2025-11-10 11:30:01,2025-11-10 11:30:02,1.22,14.75,33.0
4760,2025-11-10 11:30:16,2025-11-10 11:30:18,2.16,8.33,18.63
4787,2025-11-10 11:30:19,2025-11-10 11:30:21,2.16,8.33,18.63
4828,2025-11-10 11:30:22,2025-11-10 11:30:24,1.7,10.57,23.63
4848,2025-11-10 11:30:25,2025-11-10 11:30:27,2.3,7.8,17.46
4870,2025-11-10 11:30:27,2025-11-10 11:30:29,1.91,9.43,21.1
4930,2025-11-10 11:30:33,2025-11-10 11:30:35,1.91,9.4,21.03
4957,2025-11-10 11:30:35,2025-11-10 11:30:37,2.0,8.98,20.09
5546,2025-11-10 11:31:34,2025-11-10 11:31:37,3.09,5.82,13.01
5601,2025-11-10 11:31:36,2025-11-10 11:31:40,3.54,5.08,11.36
31,2025-11-10 11:40:20,2025-11-10 11:40:23,2.42,7.42,16.6
61,2025-11-10 11:40:23,2025-11-10 11:40:25,2.31,7.78,17.41
93,2025-11-10 11:40:26,2025-11-10 11:40:28,2.23,8.06,18.03
107,2025-11-10 11:40:28,2025-11-10 11:40:31,2.87,6.27,14.03
1106,2025-11-10 11:42:16,2025-11-10 11:42:18,2.47,7.27,16.26
1131,2025-11-10 11:42:20,2025-11-10 11:42:22,2.49,7.23,16.18
1196,2025-11-10 11:42:26,2025-11-10 11:42:28,1.93,9.29,20.79
311,2025-11-10 14:20:14,2025-11-10 14:20:17,2.59,6.95,15.55
364,2025-11-10 14:20:18,2025-11-10 14:20:21,2.8,6.42,14.37
372,2025-11-10 14:20:21,2025-11-10 14:20:24,2.74,6.57,14.7
390,2025-11-10 14:20:24,2025-11-10 14:20:27,2.52,7.15,15.99
445,2025-11-10 14:20:30,2025-11-10 14:20:32,1.76,10.2,22.81
30,2025-11-10 14:32:22,2025-11-10 14:32:24,1.82,9.88,22.1
53,2025-11-10 14:32:25,2025-11-10 14:32:27,1.73,10.38,23.23
93,2025-11-10 14:32:28,2025-11-10 14:32:30,1.63,11.04,24.69
124,2025-11-10 14:32:32,2025-11-10 14:32:33,1.54,11.67,26.09
186,2025-11-10 14:32:35,2025-11-10 14:32:37,1.92,9.36,20.95
224,2025-11-10 14:32:39,2025-11-10 14:32:41,1.53,11.74,26.26
258,2025-11-10 14:32:43,2025-11-10 14:32:45,1.83,9.85,22.03
320,2025-11-10 14:32:48,2025-11-10 14:32:49,1.41,12.74,28.49
407,2025-11-10 14:32:52,2025-11-10 14:32:54,1.72,10.45,23.37
670,2025-11-10 14:33:27,2025-11-10 14:33:30,3.08,5.84,13.06
1112,2025-11-10 14:34:28,2025-11-10 14:34:30,2.25,7.98,17.85
1197,2025-11-10 14:34:37,2025-11-10 14:34:38,1.46,12.35,27.63
1219,2025-11-10 14:34:41,2025-11-10 14:34:43,1.74,10.34,23.13
1228,2025-11-10 14:34:43,2025-11-10 14:34:44,1.74,10.31,23.07
1236,2025-11-10 14:34:44,2025-11-10 14:34:46,1.63,11.01,24.62
1255,2025-11-10 14:34:48,2025-11-10 14:34:49,1.66,10.85,24.26
1287,2025-11-10 14:34:52,2025-11-10 14:34:53,1.15,15.66,35.04
2054,2025-11-10 14:36:20,2025-11-10 14:36:22,2.41,7.46,16.69
2062,2025-11-10 14:36:24,2025-11-10 14:36:27,2.59,6.94,15.52
2093,2025-11-10 14:36:29,2025-11-10 14:36:30,1.37,13.17,29.46
2141,2025-11-10 14:36:32,2025-11-10 14:36:34,1.71,10.5,23.49
2166,2025-11-10 14:36:34,2025-11-10 14:36:36,1.84,9.78,21.88
2210,2025-11-10 14:36:39,2025-11-10 14:36:41,1.53,11.79,26.37
2252,2025-11-10 14:36:43,2025-11-10 14:36:44,1.35,13.31,29.77
2319,2025-11-10 14:36:51,2025-11-10 14:36:52,1.69,10.61,23.74
2352,2025-11-10 14:36:54,2025-11-10 14:36:55,1.35,13.29,29.74
197,2025-11-10 15:16:49,2025-11-10 15:16:52,2.97,6.05,13.54
215,2025-11-10 15:18:08,2025-11-10 15:18:11,2.51,7.16,16.02
743,2025-11-10 15:18:55,2025-11-10 15:18:57,1.93,9.32,20.86
799,2025-11-10 15:19:00,2025-11-10 15:19:02,2.14,8.39,18.76
823,2025-11-10 15:19:03,2025-11-10 15:19:05,1.94,9.28,20.77
881,2025-11-10 15:19:08,2025-11-10 15:19:10,1.54,11.65,26.07
917,2025-11-10 15:19:12,2025-11-10 15:19:13,1.76,10.22,22.86
1096,2025-11-10 15:19:23,2025-11-10 15:19:25,1.8,9.96,22.29
1162,2025-11-10 15:19:27,2025-11-10 15:19:29,1.54,11.71,26.2
21,2025-11-10 19:33:34,2025-11-10 19:33:36,2.02,8.9,19.92
18,2025-11-10 19:44:03,2025-11-10 19:44:04,1.45,12.41,27.76
5,2025-11-10 19:49:02,2025-11-10 19:49:05,3.12,5.77,12.9
29,2025-11-11 15:16:32,2025-11-11 15:16:36,3.01,5.98,13.37
40,2025-11-11 15:16:36,2025-11-11 15:16:39,2.67,6.74,15.08
49,2025-11-11 15:16:37,2025-11-11 15:16:41,3.88,4.63,10.36
102,2025-11-11 15:16:46,2025-11-11 15:16:49,3.33,5.4,12.08
7,2025-11-11 21:32:30,2025-11-11 21:32:32,2.27,7.92,17.71
23,2025-11-11 21:32:39,2025-11-11 21:32:41,1.78,10.09,22.58
218,2025-11-11 22:12:21,2025-11-11 22:12:23,1.8,10.0,22.38
35,2025-11-12 07:20:35,2025-11-12 07:20:35,0.07,257.79,576.66
40,2025-11-12 07:20:40,2025-11-12 07:20:40,0.07,251.74,563.12
42,2025-11-12 07:20:43,2025-11-12 07:20:43,0.07,267.97,599.43
45,2025-11-12 07:20:44,2025-11-12 07:20:44,0.07,256.39,573.54
48,2025-11-12 07:20:47,2025-11-12 07:20:47,0.07,252.35,564.5
482,2025-11-12 07:50:49,2025-11-12 07:50:48,1.64,8.56,19.14
500,2025-11-12 07:50:52,2025-11-12 07:50:50,1.81,7.76,17.37
515,2025-11-12 07:50:55,2025-11-12 07:50:53,1.51,9.29,20.78
545,2025-11-12 07:51:01,2025-11-12 07:50:59,1.61,8.71,19.48
575,2025-11-12 07:51:04,2025-11-12 07:51:03,1.46,9.63,21.54
588,2025-11-12 07:51:08,2025-11-12 07:51:07,1.52,9.25,20.7
378,2025-11-12 07:54:08,2025-11-12 07:54:06,2.17,6.47,14.47
388,2025-11-12 07:54:10,2025-11-12 07:54:08,2.25,6.23,13.94
404,2025-11-12 07:54:13,2025-11-12 07:54:11,2.22,6.33,14.17
433,2025-11-12 07:54:17,2025-11-12 07:54:15,2.29,6.12,13.7
462,2025-11-12 07:54:19,2025-11-12 07:54:17,1.75,8.03,17.97
475,2025-11-12 07:54:22,2025-11-12 07:54:20,1.9,7.4,16.55
508,2025-11-12 07:54:25,2025-11-12 07:54:24,1.57,8.94,20.0
521,2025-11-12 07:54:28,2025-11-12 07:54:26,1.72,8.16,18.25
543,2025-11-12 07:54:31,2025-11-12 07:54:29,1.66,8.48,18.96
553,2025-11-12 07:54:34,2025-11-12 07:54:32,1.54,9.14,20.44
570,2025-11-12 07:55:26,2025-11-12 07:55:29,3.03,4.64,10.37
752,2025-11-12 07:55:31,2025-11-12 07:55:33,2.49,5.64,12.61
1008,2025-11-12 07:55:46,2025-11-12 07:55:44,2.05,6.84,15.3
1026,2025-11-12 07:55:50,2025-11-12 07:55:48,2.17,6.47,14.47
1054,2025-11-12 07:55:52,2025-11-12 07:55:51,1.44,9.77,21.86
1126,2025-11-12 07:55:57,2025-11-12 07:55:56,1.26,11.16,24.96
1161,2025-11-12 07:56:01,2025-11-12 07:55:59,2.16,6.51,14.57
1180,2025-11-12 07:56:03,2025-11-12 07:56:01,1.78,7.91,17.68
1202,2025-11-12 07:56:05,2025-11-12 07:56:03,1.49,9.4,21.03
1209,2025-11-12 07:56:09,2025-11-12 07:56:07,1.81,7.75,17.34
1965,2025-11-12 07:57:31,2025-11-12 07:57:29,1.9,7.4,16.55
2036,2025-11-12 07:57:38,2025-11-12 07:57:36,1.87,7.52,16.82
2054,2025-11-12 07:57:43,2025-11-12 07:57:42,1.42,9.9,22.14
2065,2025-11-12 07:57:45,2025-11-12 07:57:44,1.24,11.3,25.28
2114,2025-11-12 07:57:51,2025-11-12 07:57:49,1.59,8.8,19.69
396,2025-11-12 07:59:08,2025-11-12 07:59:07,1.73,20.25,45.3
438,2025-11-12 07:59:13,2025-11-12 07:59:12,1.31,26.74,59.82
469,2025-11-12 07:59:17,2025-11-12 07:59:16,1.63,21.48,48.05
515,2025-11-12 07:59:20,2025-11-12 07:59:18,1.51,23.14,51.76
531,2025-11-12 07:59:21,2025-11-12 07:59:20,1.53,22.94,51.32
586,2025-11-12 07:59:27,2025-11-12 07:59:25,1.53,22.98,51.4
626,2025-11-12 08:00:19,2025-11-12 08:00:21,2.04,17.17,38.42
1404,2025-11-12 08:00:48,2025-11-12 08:00:46,1.72,20.35,45.52
1418,2025-11-12 08:00:50,2025-11-12 08:00:49,1.54,22.8,50.99
1425,2025-11-12 08:00:53,2025-11-12 08:00:51,1.66,21.07,47.13
1431,2025-11-12 08:00:55,2025-11-12 08:00:54,1.5,23.4,52.35
1484,2025-11-12 08:01:00,2025-11-12 08:00:59,1.58,22.21,49.68
1538,2025-11-12 08:01:06,2025-11-12 08:01:04,2.14,16.34,36.55
1548,2025-11-12 08:01:08,2025-11-12 08:01:06,2.14,16.38,36.64
1564,2025-11-12 08:01:10,2025-11-12 08:01:08,2.09,16.77,37.52
1575,2025-11-12 08:01:12,2025-11-12 08:01:10,1.96,17.88,40.01
159,2025-11-12 08:02:24,2025-11-12 08:02:23,1.39,10.24,22.9
248,2025-11-12 08:02:30,2025-11-12 08:02:29,1.51,9.39,21.0
267,2025-11-12 08:02:32,2025-11-12 08:02:31,1.46,9.72,21.74
295,2025-11-12 08:02:35,2025-11-12 08:02:33,1.55,9.14,20.45
310,2025-11-12 08:02:37,2025-11-12 08:02:36,1.19,11.97,26.77
329,2025-11-12 08:02:39,2025-11-12 08:02:38,1.29,11.05,24.71
1184,2025-11-12 08:04:02,2025-11-12 08:04:01,1.6,8.89,19.9
1228,2025-11-12 08:04:04,2025-11-12 08:04:03,1.43,9.91,22.17
1257,2025-11-12 08:04:07,2025-11-12 08:04:06,1.48,9.59,21.45
1296,2025-11-12 08:04:09,2025-11-12 08:04:08,1.87,7.58,16.96
1514,2025-11-12 08:04:27,2025-11-12 08:04:26,1.38,10.32,23.09
1602,2025-11-12 08:04:35,2025-11-12 08:04:32,2.32,6.12,13.69
31,2025-11-12 08:07:45,2025-11-12 08:07:44,1.23,11.4,25.51
10,2025-11-12 11:33:18,2025-11-12 11:33:21,3.15,4.52,10.1
30,2025-11-12 11:33:21,2025-11-12 11:33:24,3.46,4.1,9.18
4,2025-11-12 11:33:24,2025-11-12 11:33:27,2.46,5.77,12.91
113,2025-11-12 11:33:45,2025-11-12 11:33:42,3.06,4.64,10.37
2,2025-11-12 11:49:06,2025-11-12 11:49:06,0.0,14210000.0,31786917.4
7,2025-11-12 11:49:06,2025-11-12 11:49:06,0.0,14210000.0,31786917.4
683,2025-11-12 11:49:56,2025-11-12 11:49:52,3.36,4.22,9.45
258,2025-11-12 11:49:23,2025-11-12 11:50:10,46.73,0.3,0.68
444,2025-11-12 11:50:08,2025-11-12 11:50:13,4.33,3.28,7.34
1336,2025-11-12 11:50:30,2025-11-12 11:50:33,3.22,4.41,9.86
1362,2025-11-12 11:50:32,2025-11-12 11:50:35,3.26,4.36,9.75
1476,2025-11-12 11:50:40,2025-11-12 11:50:43,2.58,5.5,12.31
1566,2025-11-12 11:50:56,2025-11-12 11:50:53,3.18,4.46,9.98
2173,2025-11-12 11:52:01,2025-11-12 11:51:57,4.15,3.43,7.66
2283,2025-11-12 11:52:06,2025-11-12 11:52:11,4.37,3.25,7.28
2331,2025-11-12 11:52:16,2025-11-12 11:52:20,4.33,3.28,7.34
2608,2025-11-12 11:52:37,2025-11-12 11:52:39,2.21,6.44,14.4
3221,2025-11-12 11:53:54,2025-11-12 11:53:51,3.58,3.97,8.88
3250,2025-11-12 11:53:59,2025-11-12 11:53:54,4.7,3.03,6.77
288,2025-11-12 15:06:53,2025-11-12 15:06:51,1.93,7.37,16.49
53,2025-11-12 15:08:58,2025-11-12 15:08:56,2.04,6.97,15.59
268,2025-11-12 15:09:15,2025-11-12 15:09:14,1.45,9.77,21.85
15,2025-11-12 15:08:56,2025-11-12 15:09:55,58.85,0.24,0.54
1118,2025-11-12 15:11:00,2025-11-12 15:10:58,1.62,8.77,19.63
1169,2025-11-13 09:06:45,2025-11-13 09:06:44,1.27,11.19,25.03
1812,2025-11-13 09:08:29,2025-11-13 09:08:27,1.36,10.44,23.35
80,2025-11-13 09:10:40,2025-11-13 09:10:40,0.0,14210000.0,31786917.4
2514,2025-11-13 09:10:42,2025-11-13 09:10:41,1.15,12.39,27.72
3108,2025-11-13 09:12:26,2025-11-13 09:12:25,1.48,9.63,21.53
3122,2025-11-13 09:12:31,2025-11-13 09:12:29,1.66,8.54,19.11
3133,2025-11-13 09:12:33,2025-11-13 09:12:31,1.84,7.74,17.31
3924,2025-11-13 09:14:20,2025-11-13 09:14:19,1.66,8.56,19.14
4031,2025-11-13 09:14:31,2025-11-13 09:14:29,1.06,13.41,30.0
4045,2025-11-13 09:14:33,2025-11-13 09:14:31,1.16,12.26,27.43
135,2025-11-13 12:07:36,2025-11-13 12:07:38,2.26,6.29,14.07
985,2025-11-13 12:09:18,2025-11-13 12:09:22,3.94,3.61,8.07
42,2025-11-13 19:11:04,2025-11-13 19:11:04,0.0,17210000.0,38497737.4
51,2025-11-13 19:11:12,2025-11-13 19:10:51,21.57,0.8,1.79
24,2025-11-13 21:06:10,2025-11-13 21:06:10,0.0,17210000.0,38497737.4
34,2025-11-13 21:06:24,2025-11-13 21:06:17,7.16,2.4,5.38
50,2025-11-13 22:18:23,2025-11-13 22:18:24,1.08,33.21,74.28
40,2025-11-14 09:44:31,2025-11-14 09:44:33,2.25,16.01,35.81
68,2025-11-14 09:44:41,2025-11-14 09:44:42,1.7,21.21,47.45
270,2025-11-14 09:47:23,2025-11-14 09:47:26,3.11,11.59,25.92
21,2025-11-14 09:54:11,2025-11-14 09:54:13,1.96,9.2,20.57
35,2025-11-14 09:54:13,2025-11-14 09:54:16,2.17,8.27,18.5
52,2025-11-14 09:54:17,2025-11-14 09:54:19,2.12,8.47,18.95
72,2025-11-14 09:54:22,2025-11-14 09:54:24,1.84,9.79,21.9
99,2025-11-14 09:54:29,2025-11-14 09:54:30,0.96,18.72,41.87
57,2025-11-14 09:58:21,2025-11-14 09:58:23,1.69,10.67,23.86
75,2025-11-14 09:58:25,2025-11-14 09:58:27,1.68,10.72,23.98
91,2025-11-14 09:58:28,2025-11-14 09:58:30,2.07,8.67,19.4
133,2025-11-14 09:58:32,2025-11-14 09:58:33,1.1,16.41,36.71
123,2025-11-14 09:58:31,2025-11-14 09:58:36,4.58,3.92,8.78
235,2025-11-14 09:58:54,2025-11-14 09:58:55,1.54,11.66,26.09
246,2025-11-14 09:58:56,2025-11-14 09:58:58,2.04,8.82,19.72
509,2025-11-14 09:59:45,2025-11-14 09:59:49,3.81,4.72,10.57
22,2025-11-14 15:15:48,2025-11-14 15:15:51,3.53,5.1,11.41
34,2025-11-14 15:15:50,2025-11-14 15:15:53,3.58,5.03,11.24
242,2025-11-14 15:16:46,2025-11-14 15:16:48,1.71,10.51,23.52
277,2025-11-14 15:16:54,2025-11-14 15:16:55,1.78,10.11,22.62
292,2025-11-14 15:16:58,2025-11-14 15:17:01,2.63,6.85,15.32
297,2025-11-14 15:17:00,2025-11-14 15:17:02,2.31,7.78,17.41
314,2025-11-14 15:17:02,2025-11-14 15:17:12,9.67,1.86,4.16
344,2025-11-14 15:17:14,2025-11-14 15:17:17,2.52,7.14,15.97
409,2025-11-14 15:17:41,2025-11-14 15:17:44,2.98,6.04,13.51
35,2025-11-14 15:23:41,2025-11-14 15:23:47,6.29,2.86,6.4
31,2025-11-14 15:29:13,2025-11-14 15:29:15,2.89,6.22,13.92
33,2025-11-14 15:29:17,2025-11-14 15:29:19,2.03,8.85,19.81
39,2025-11-14 15:29:20,2025-11-14 15:29:21,1.53,11.73,26.25
45,2025-11-14 15:30:35,2025-11-14 15:30:36,1.76,10.22,22.85
57,2025-11-14 15:30:37,2025-11-14 15:30:38,1.27,14.12,31.58
63,2025-11-14 15:30:41,2025-11-14 15:30:42,1.61,11.19,25.04
69,2025-11-14 15:30:43,2025-11-14 15:30:44,1.62,11.12,24.87
76,2025-11-14 15:30:46,2025-11-14 15:30:47,1.68,10.7,23.93
81,2025-11-14 15:30:49,2025-11-14 15:30:50,1.33,13.54,30.29
90,2025-11-14 15:30:54,2025-11-14 15:30:55,0.85,21.23,47.49
115,2025-11-14 15:31:01,2025-11-14 15:31:02,1.1,16.31,36.48
121,2025-11-14 15:31:04,2025-11-14 15:31:04,0.78,23.08,51.63
124,2025-11-14 15:31:05,2025-11-14 15:31:06,1.11,16.19,36.21
129,2025-11-14 15:31:08,2025-11-14 15:31:09,1.49,12.08,27.03
134,2025-11-14 15:31:12,2025-11-14 15:31:12,0.85,21.24,47.51
156,2025-11-14 15:31:17,2025-11-14 15:31:18,1.35,13.33,29.81
15,2025-11-14 15:33:04,2025-11-14 15:33:05,0.97,18.55,41.49
25,2025-11-14 15:33:07,2025-11-14 15:33:08,0.83,21.69,48.53
43,2025-11-14 15:33:12,2025-11-14 15:33:13,1.13,15.93,35.63
61,2025-11-14 15:33:18,2025-11-14 15:33:19,1.04,17.26,38.62
64,2025-11-14 15:33:19,2025-11-14 15:33:20,1.05,17.19,38.46
86,2025-11-14 15:33:28,2025-11-14 15:33:30,2.61,6.89,15.41
6,2025-11-14 15:40:44,2025-11-14 15:40:45,1.48,12.15,27.18
22,2025-11-14 15:40:50,2025-11-14 15:40:51,0.69,25.88,57.9
25,2025-11-14 15:40:52,2025-11-14 15:40:53,1.45,12.36,27.65
36,2025-11-14 15:40:54,2025-11-14 15:40:56,1.46,12.34,27.59
38,2025-11-14 15:40:56,2025-11-14 15:40:57,1.11,16.21,36.26
48,2025-11-14 15:41:00,2025-11-14 15:41:03,2.92,6.15,13.75
72,2025-11-14 15:41:01,2025-11-14 15:41:05,3.25,5.52,12.36
112,2025-11-14 15:41:16,2025-11-14 15:41:17,1.31,13.69,30.63
64,2025-11-14 23:57:41,2025-11-14 23:57:45,3.48,5.23,11.69
70,2025-11-14 23:57:46,2025-11-14 23:57:48,2.79,6.52,14.58
76,2025-11-14 23:57:51,2025-11-14 23:57:52,1.37,13.24,29.62
91,2025-11-14 23:57:57,2025-11-14 23:58:00,2.34,7.78,17.39
96,2025-11-14 23:58:03,2025-11-14 23:58:05,2.39,7.59,16.99
100,2025-11-14 23:58:07,2025-11-14 23:58:08,1.16,15.7,35.13
99,2025-11-14 23:58:07,2025-11-14 23:58:12,4.67,3.89,8.71
107,2025-11-14 23:58:14,2025-11-14 23:58:15,1.73,10.51,23.51
108,2025-11-14 23:58:17,2025-11-14 23:58:19,1.64,11.08,24.79
110,2025-11-14 23:58:20,2025-11-14 23:58:22,1.65,11.05,24.71
117,2025-11-14 23:58:29,2025-11-14 23:58:29,0.7,26.11,58.4
126,2025-11-14 23:58:52,2025-11-14 23:59:05,13.43,1.35,3.03
157,2025-11-14 23:59:20,2025-11-14 23:59:24,4.33,4.2,9.39
172,2025-11-14 23:59:28,2025-11-14 23:59:32,3.7,4.92,10.99
209,2025-11-15 00:00:00,2025-11-15 00:00:04,4.11,4.42,9.9
287,2025-11-15 00:00:53,2025-11-15 00:00:55,2.91,6.24,13.96
288,2025-11-15 00:00:56,2025-11-15 00:00:58,2.49,7.3,16.32
